game_string,play_per_game,plate_x,plate_z,zone
y1_d061_VKA_PHD,1,1.2967533054957538,2.0477521080865952,out_zone
y1_d061_VKA_PHD,2,-0.03249299439109189,1.9275612977896264,in_zone
y1_d061_VKA_PHD,4,0.9647927290172711,0.8587841043391085,out_zone
y1_d061_VKA_PHD,5,0.7559476486641358,1.678620014899088,out_zone
y1_d061_VKA_PHD,6,1.2510692166318935,2.7048670066726817,out_zone
y1_d061_VKA_PHD,9,-0.8021555247052301,3.000307494614448,out_zone
y1_d061_VKA_PHD,10,-1.6918751760992314,2.2928926635544427,out_zone
y1_d061_VKA_PHD,12,0.9714836135173532,3.231134691911587,out_zone
y1_d061_VKA_PHD,13,0.7622338769433885,3.3462312228267055,out_zone
y1_d061_VKA_PHD,14,0.9822910199194368,2.0159943141156558,out_zone
y1_d061_VKA_PHD,15,0.24586467734330558,3.473546956407768,in_zone
y1_d061_VKA_PHD,18,-0.4168608259997827,2.48128597021527,in_zone
y1_d061_VKA_PHD,19,-0.03500474224526198,2.5076211399000847,in_zone
y1_d061_VKA_PHD,20,-1.1583033123547324,3.445284646517384,out_zone
y1_d061_VKA_PHD,21,1.112142077956982,3.5899428111156295,out_zone
y1_d061_VKA_PHD,22,0.12132641990860221,1.6914554258487433,in_zone
y1_d061_VKA_PHD,24,0.816109655730098,3.8178044672386298,out_zone
y1_d061_VKA_PHD,26,-0.17793778707941477,2.8737923517088033,in_zone
y1_d061_VKA_PHD,27,0.8981117411954539,1.8017837799915815,out_zone
y1_d061_VKA_PHD,29,-1.1933640780379933,2.974984858809562,out_zone
y1_d061_VKA_PHD,30,0.42075624308507875,1.8539167535977705,in_zone
y1_d061_VKA_PHD,31,1.509591445238094,1.8153755846277073,out_zone
y1_d061_VKA_PHD,32,0.27713580469525895,2.9287607984277586,in_zone
y1_d061_VKA_PHD,33,1.0651313120402632,3.3090242936460723,out_zone
y1_d061_VKA_PHD,34,1.1600175866582774,1.4139773875024577,out_zone
y1_d061_VKA_PHD,35,-0.43141807060741355,2.3660454102383186,in_zone
y1_d061_VKA_PHD,36,1.9700885025635784,3.9849230047524147,out_zone
y1_d061_VKA_PHD,37,-0.35531286704604514,2.767535892362361,in_zone
y1_d061_VKA_PHD,38,0.6238962794405016,2.193274183081622,in_zone
y1_d061_VKA_PHD,39,-0.8274069140171632,3.3330081159145832,out_zone
y1_d061_VKA_PHD,40,0.7941779409921542,3.2757641013699303,out_zone
y1_d061_VKA_PHD,41,-2.004316430809684,1.3994908264571992,out_zone
y1_d061_VKA_PHD,42,0.07717792345027255,3.477365907555803,in_zone
y1_d061_VKA_PHD,43,0.871505639007197,2.779345704291911,out_zone
y1_d061_VKA_PHD,44,-0.6935648481820564,2.3759618034684067,in_zone
y1_d061_VKA_PHD,45,-1.1057838053676248,2.88272903886575,out_zone
y1_d061_VKA_PHD,46,0.12376912878960294,1.397601095941246,out_zone
